Khanty_people	__people__ethnicity__languages_spoken	Khanty_Language
Tweet	__music__artist__track	Bilal
Southeast_Asia	__music__release_track__recording	Southeast_Asia
Let's_Go_Girls	__music__release__format	Compact_disc
Amy_Rodriguez	__olympics__olympic_athlete__medals_won	Alex_Morgan
Sussan_Deyhim	__people__person__nationality	Iran
Iron_Pagoda	__religion__place_of_worship__type_of_place_of_worship	Temple
Excalibur	__music__recording__releases	Días_de_Gloria
Jacqueline_May	__people__deceased_person__place_of_death	Los_Angeles
Peter_Mulvey	__people__person__profession	Singer-songwriter
Paul_Cherry	__people__person__nationality	England
Hollywood	__film__film__country	India
Patricia_Clarkson	__award__award_nominee__award_nominations	Tom_Hanks
Robert_A._Heinlein	__influence__influence_node__influenced_by	Ayn_Rand
André_Kostolany	__people__person__profession	Economist
Keith_Helfet	__people__person__gender	Male
Jefe_de_la_Frontera	__media_common__netflix_title__netflix_genres	Spanish_Language
Roja	__freebase__valuenotation__has_no_value	Prequel
Chef	__common__topic__notable_types	Film_character
Shropshire	__location__location__contains	Bucknell
Austria-Hungary	__location__location__contains	Miskolc
Hunting_Chris_Ryan	__tv__tv_program__genre	Miniseries
Katarína_Knechtová	__music__artist__genre	Rock_music
Kinatay	__film__film__country	France
Jerome_Ross	__people__person__gender	Male
Slim_Love	__people__person__profession	Baseball_player
DJ_Hype	__music__artist__album	Dubplate_Killaz
Matthias_Dehoust	__people__person__gender	Male
Eclipse	__music__recording__releases	OK
Shawn_Spears	__people__person__gender	Male
Battle_of_Al-Anbar	__base__culturalevent__event__entity_involved	Rashidun_Caliphate
Gary_Forrester	__influence__influence_node__influenced_by	Raymond_Chandler
Kerala	__location__location__people_born_here	Lalu_KV
Al_Rosen	__people__person__ethnicity	Jewish_people
BEN	__common__topic__notable_types	Musical_Album
Maurice_Halbwachs	__people__person__nationality	France
Michael_McGovern	__soccer__football_player__position_s	Goalkeeper
James_Emanuel	__people__person__gender	Male
Baby_Don't_You_Do_It	__music__composition__composer	Lamont_Dozier
Michael_Kalesniko	__people__person__profession	Screenwriter
Free	__common__topic__notable_types	Consumer_product
Triathlon	__olympics__olympic_participating_country__athletes	France
Mariah_Carey	__influence__influence_node__influenced_by	Aretha_Franklin
Luigi_Poletti	__people__person__gender	Male
Darren_S._Cook	__people__person__nationality	United_Kingdom
Amélie_Mauresmo	__people__person__profession	Tennis_player
Steve_King	__people__person__nationality	England
Fiction	__music__recording__artist	Joni_Mitchell
Hugo_Matte	__people__person__profession	Film_Producer
Microleaps	__music__release__track_list	Mercury
Ultra-Octa-Doom	__music__album__artist	Kool_Keith
The_Great_Red_Spot	__music__release__track	Apple
Udo_Zimmermann	__music__artist__genre	Opera
Dev_Anand	__film__director__film	Awwal_Number
Food	__type__object__permission	Wrestler
Thomas_Nelson	__book__publishing_company__books_published	Adam
Matthias_Bel	__people__person__nationality	Hungary
Andy_Warhol_Registry	__business__consumer_product__themes	Graffiti
Ontario	__location__location__people_born_here	Kelly-Marie_Murtha
Gary_Forrester	__influence__influence_node__influenced_by	Colette
Haddon	__location__location__containedby	Huntingdonshire
Cult_Comedies	__media_common__netflix_genre__titles	Bubba_Ho-Tep
I_Don't_Give_A	__music__composition__lyricist	Martin_Solveig
Madonna	__music__release_track__release	House_of_Insanity
Victor_Moses	__sports__sports_team__roster	Chelsea_F.C.
Banff_and_Buchan	__government__politician__government_positions_held	Alex_Salmond
Josh_Brolin	__freebase__valuenotation__is_reviewed	Place_of_birth
Something_Else	__music__album__album_content_type	Live_Album
Red	__music__recording__tracks	Red
Coming_Around_Again	__music__album__genre	Rock_music
Miodrag_Krstovic	__people__person__place_of_birth	Belgrade
Old_Hats	__theater__play__composer	Nellie_McKay
Ypsilanti	__music__album__release_type	Album
Younes_Shokrkhah	__people__person__gender	Male
Casino_Royale	__music__release__album	Casino_Royale
Ontario	__location__location__people_born_here	Fred_Church
Victor_Moses	__sports__sports_team__roster	Crystal_Palace_F.C.
Camilo_Ayala	__people__person__place_of_birth	Medellín
Daniel_Breaker	__people__person__gender	Male
Dave_Pirner	__common__topic__notable_types	Musical_Artist
Keith_Randal_Duncan	__people__person__profession	Screenwriter
Manuchehr_Anvar	__people__person__gender	Male
James_Tyrrell	__people__person__profession	Writer
Indicator	__music__release__track_list	Europe
Jermaine_Jackson	__people__person__gender	Male
Cornelius_Gurlitt	__people__person__place_of_birth	Altona,_Hamburg
Denise_Scott_Brown	__architecture__architect__structures_designed	Seattle_Art_Museum
Tony_Fulton	__people__person__gender	Male
Ljubljana	__location__location__people_born_here	Milan_Komar
Frankie_Beverly	__people__person__gender	Male
Sunday_Driver	__media_common__netflix_title__netflix_genres	Motorsport
After_the_Rain	__music__album__artist	Muddy_Waters
Tangocrisis	__music__artist__origin	Buenos_Aires
Three-legged_crow	__base__folklore__mythical_creature__mythology	Japanese_mythology
Persimmon	__biology__organism__sex	Male
Ljubljana	__location__location__people_born_here	Srečko_Katanec
Hi-Yo_Silver!	__people__person__profession	Singer
Justin_P._Terry	__people__person__profession	Production_Designer
Dan_Rotblatt	__people__person__profession	Screenwriter
Cold_War	__music__release_track__recording	Cold_War
Balabhaskar	__music__artist__genre	Carnatic_music
Hal_Holbrook	__award__award_nominee__award_nominations	Sally_Field
David_Watson	__people__person__gender	Male
The_Mask	__film__film__genre	Romance_Film
Cult_Comedies	__media_common__netflix_genre__titles	Jackass_3D
Ikuma_Dan	__people__person__gender	Male
Live_at_85!	__music__album__release_type	Album
Dimanche_à_Bamako	__music__album__genre	Blues
Lake_Nokomis	__location__location__containedby	Minneapolis
Charles_III	__music__album__artist	Charles_Earland
Imagine	__film__film__genre	Documentary_film
Human_swimming	__common__topic__notable_types	Sport
Marc_Weller	__people__person__gender	Male
Blake_Aaron	__music__artist__genre	Smooth_jazz
Miriam_Toews	__freebase__valuenotation__is_reviewed	Gender
Catoosa_Springs	__location__location__containedby	Catoosa_County
Helena_Dabrowska	__people__deceased_person__place_of_death	Warsaw
Greenbrier	__location__location__containedby	Richmond_County
I_am_Mordred	__book__written_work__subjects	Folklore
Jason_Voorhees	__fictional_universe__fictional_character__gender	Male
The_Fray	__music__artist__track	Undertow
Jay_Reel	__common__topic__notable_types	Film_director
Muhsin_Muhammad	__people__person__ethnicity	African_American
Battle_of_Stalingrad	__time__event__includes_event	Tatsinskaya_Raid
Derek_Howard	__people__person__gender	Male
Suresh_Balaje	__people__person__gender	Male
Andreas_Samland	__people__person__gender	Male
Edward_Abbey	__book__author__works_written	Black_Sun
Xhevdet_Bajraj	__people__person__place_of_birth	Republic_of_Kosovo
Tweet	__music__artist__track	Mirror
Ken_Hunt	__people__person__place_of_birth	Grand_Forks
Slon	__music__release__track_list	Zagreb
Vince_Harder	__people__person__gender	Male
Lost:_Season_5	__music__album__artist	Michael_Giacchino
Patrick_Levis	__people__person__place_of_birth	Silver_Spring
Bryant_McKinnie	__sports__sports_team__roster	Miami_Dolphins
Joe_Bennett	__people__person__profession	Writer
Jonathon_Morris	__people__person__place_of_birth	Urmston
Daniel_Calveti	__people__person__profession	Singer
Donald_Zuckerman	__people__person__gender	Male
Bart_Smits	__people__person__gender	Male
Food	__type__object__permission	Golfer
Piano_Concerto_no._1	__music__composer__compositions	William_Alwyn
Don't_Look_Back	__music__album__release_type	Album
Peter_Nyman	__common__topic__notable_types	TV_Personality
Forget_America	__film__film__genre	Romance_Film
Stuart_Symington	__people__person__profession	Businessperson
Signing_Off	__music__album__genre	Dub
Fever	__music__recording__releases	Afro-Rock,_Volume_1
Josh_Brolin	__freebase__valuenotation__is_reviewed	Gender
Kerala	__location__location__people_born_here	Preethi_Nair
My_Japanese_Coach	__cvg__computer_videogame__developer	Ubisoft
The_Ice_Curtain	__music__release__format	Compact_disc
John_Felstiner	__people__person__gender	Male
Charles_Darwin	__freebase__valuenotation__has_value	Height
Parthenon	__music__release__track_list	Closer
Space_Mutiny	__film__film__written_by	David_Winters
Symphony_No._47	__music__composition__musical_key	G_major
Screwball_comedy	__film__film_genre__films_in_this_genre	The_Rage_of_Paris
Jorge_Carrasco	__people__person__gender	Male
History	__music__recording__tracks	History
Bruton_Jones	__film__film_production_designer__films_production_designed	Next_Day_Air
Lene_Alexandra	__people__person__profession	Model
Live_in_Eindhoven	__music__album__album_content_type	Live_Album
Zsuzsa_Elekes	__people__person__place_of_birth	Budapest
Saeko_Shimazu	__common__topic__notable_types	TV_Actor
Ervália	__location__location__containedby	Brazil
Christian_Bautista	__people__person__profession	Singer
Didier_of_Cahors	__people__person__gender	Male
Chris_Crowe	__people__person__gender	Male
Harald_Nugiseks	__people__person__gender	Male
Honey	__common__topic__notable_types	Ingredient
Ivorá	__location__location__containedby	Brazil
Bass	__music__release_track__release	The_Kershaw_Sessions
Darius_Vassell	__sports__sports_team__roster	Manchester_City_F.C.
Sergey_Shubenkov	__people__person__place_of_birth	Altai_Republic
Ljubljana	__location__location__people_born_here	Leo_Funtek
Roger_Greenawalt	__music__artist__genre	Rock_music
Hashemites	__royalty__royal_line__kingdom_s_ruled	Greater_Syria
OnAir	__business__business_operation__industry	Technology
Remission	__music__album__release_type	Album
Adam-Claus_Eckert	__people__person__profession	Businessperson
Legacy_Recordings	__music__record_label__releases	Mr._Gone
Sassari	__location__location__containedby	Province_of_Sassari
Oren_Peli	__common__topic__notable_types	Film_director
John_Lee_Hooker	__music__artist__label	Specialty_Records
Grain_in_Ear	__film__film__language	Standard_Chinese
Robert_Iscove	__tv__tv_director__episodes_directed	Pilot
Ozark_Henry	__people__person__gender	Male
San_Pietro_Infine	__location__location__containedby	Campania
Pretoria	__common__topic__notable_types	Creative_Work
Paul_Richards	__people__person__gender	Male
Talbot	__astronomy__extraterrestrial_location__type_of_planetographic_feature	Impact_crater
Kerala	__location__location__people_born_here	Rajeev_Sreenivasa
Ryan_Luciani	__people__person__profession	Drummer
Austria-Hungary	__location__location__contains	Kingdom_of_Hungary
Stephen_Perry	__people__person__nationality	United_Kingdom
Kerala	__location__location__people_born_here	C.K._Vineeth
Ontario	__location__location__people_born_here	Anthony_Muñoz
Kerala	__location__location__people_born_here	Kannam_Kulam_Abdulla
Denis_Cvitičanin	__people__person__place_of_birth	Zagreb
Kerala	__location__location__people_born_here	Mor_Severios
Monoclonal_Antibody	__base__bioventurist__technology_class__bv_user_with_expertise	user1
DaVarryl_Williamson	__people__person__place_of_birth	Washington,_D.C.
Busted	__music__single__versions	Busted
Pekka_Haukinen	__people__deceased_person__cause_of_death	Traffic_collision
S._S._Ahluwalia	__people__person__nationality	India
Revolution_Roulette	__music__album__release_type	Album
Viktor_Pečovský	__people__person__gender	Male
Okiharu_Yasuoka	__people__person__gender	Male
Princeton	__location__location__people_born_here	Elwyn_Tinklenberg
Manoj_Tiwari	__people__person__gender	Male
Katsuichi	__fictional_universe__fictional_character__species	Lion
Black_Diamond	__music__album__release_type	Album
Christine	__music__album__release_type	Album
Jerome_Jackson	__people__person__profession	Screenwriter
Ragtime	__music__recording__releases	Fix
Robert_Kulhawy	__people__person__profession	Entrepreneur
Fortune_Arterial	__cvg__computer_videogame__cvg_genre	Adventure_game
The_Spider	__music__composition__lyricist	Rivers_Cuomo
Jodie_Knight	__people__person__place_of_birth	England
Urbana	__location__location__containedby	Missouri
MasterChef_Indonesia	__tv__tv_program__languages	Indonesian_Language
Gerald_McCoy	__people__person__place_of_birth	Oklahoma_City
Sitara_Achakzai	__people__person__place_of_birth	Afghanistan
Them	__film__film__country	France
My_Friend_Flicka	__book__written_work__subjects	Wyoming
Shimon_Schwab	__people__person__ethnicity	Jewish_people
Emil_Milev	__people__person__place_of_birth	Sofia
Midland	__location__location__people_born_here	Herb_Drury
Manchester	__location__hud_county_place__county	Dickinson_County
Ben_Altarescu	__people__person__profession	Film_Producer
Riccione	__location__location__containedby	Province_of_Rimini
Governorate	__user__thadguidry__default_domain__administrative_subdivision_level__country_of_context	Egypt
Under_My_Skin	__music__album__genre	Rock_music
Queen_of_the_Organ	__music__album__album_content_type	Live_Album
Barney_Pelty	__people__person__gender	Male
On_the_Run	__music__recording__releases	Baby
Michael_Lind	__freebase__valuenotation__is_reviewed	Gender
The_Parliaments	__music__group_member__membership	Eddie_Hazel
Kariyilakkattu_Pole	__film__film__country	India
Alan_Moulder	__freebase__valuenotation__is_reviewed	Place_of_birth
Donna_Lewis	__people__person__profession	Record_producer
Flycatcher	__film__film__language	Spanish_Language
Ontario	__location__location__people_born_here	Nick_Leyva
Nambaryn_Enkhbayar	__people__person__place_of_birth	Ulan_Bator
Walt_Simonson	__fictional_universe__fictional_character_creator__fictional_characters_created	Infectia
Hartpury_College	__education__educational_institution__school_type	University
Ambert	__location__location__people_born_here	Henri_Pourrat
Natsuki_Kuga	__common__topic__notable_types	Fictional_Character
Convoy_SC_143	__base__culturalevent__event__entity_involved	Admiral
Mike_Robertson	__people__person__gender	Male
Cult_Comedies	__media_common__netflix_genre__titles	Cry-Baby
Kerala	__location__location__people_born_here	Shashi_Warrier
Shropshire	__location__location__contains	The_Iron_Bridge
Roy_Rosselló	__people__person__profession	Singer
Bill_Rancic	__people__person__gender	Male
William_Lorenz	__people__person__gender	Male
Zachariah	__people__person__profession	Writer
Abhishek_Kapoor	__people__person__profession	Screenwriter
Louis_Agricola_Bauer	__people__deceased_person__place_of_death	Washington,_D.C.
Tris_Payne	__common__topic__notable_types	TV_Personality
Walter_Iooss	__people__person__gender	Male
Kerala	__location__location__people_born_here	P._Vasu
Pop_Art	__tv__tv_series_episode__series	One_on_One
Bad	__music__release__track_list	Smooth_Criminal
W._Howard_Lester	__people__person__profession	Businessperson
David_Walliams	__fictional_universe__fictional_character_creator__fictional_characters_created	Carol_Beer
Boeing_Field	__location__location__containedby	Seattle
Liliaceae	__user__frakilk__default_domain__family__division	Flowering_plant
Jennifer_Love_Hewitt	__music__artist__album	How_Do_I_Deal
Short_Stories	__music__album__album_content_type	Compilation_album
Rosuvastatin	__medicine__drug_ingredient__active_moiety_of_drug	Rosuvastatin_calcium
Al_Di_Meola	__music__artist__album	The_Guitar_Hero
Antun_Vujić	__people__person__nationality	Croatia
Mona_de_Momma	__biology__organism__organism_type	Horse
Val_Thorens	__common__topic__notable_types	Ski_Area
In_Silence	__music__album__genre	Post-punk
Brian_White	__people__person__nationality	United_Kingdom
Nightmare_Cafe	__tv__tv_program__genre	Fantasy
New_York_City	__music__recording__releases	Ooh,_Baby
Mason_jar	__symbols__namesake__named_after	John_Landis_Mason
Kerala	__location__location__people_born_here	Roysten_Abel
Sofia_Rei	__people__person__profession	Singer-songwriter
If_Not_for_You	__music__recording__artist	Olivia_Newton-John
Washington	__people__person__nationality	Brazil
Ontario	__location__location__people_born_here	Angela_Williams
Pappo	__people__person__place_of_birth	Buenos_Aires
Carol_Geddes	__people__person__profession	Film_Producer
Margerine_Eclipse	__music__album__release_type	Album
Adriano_Celentano	__music__album_release_type__albums	Album
Dog_Altogether	__film__film__genre	Short_Film
Joseph_Bell	__people__person__gender	Male
Survivor's_Law_II	__tv__tv_program__country_of_origin	Hong_Kong
Tennis	__olympics__olympic_sport__olympic_games_contested	1912_Summer_Olympics
Kate_Carnell	__people__person__profession	Pharmacist
Yury_Astravukh	__people__person__nationality	Soviet_Union
Kekal	__music__artist__genre	Progressive_rock
Live_at_Looney_Tunes	__music__album__genre	Metalcore
Kerala	__location__location__people_born_here	Vellapally_Natesan
Shōsuke_Tanihara	__people__person__gender	Male
Hosie's_Alphabet	__book__book__interior_illustrations_by	Leonard_Baskin
Specky_Four_Eyes	__film__film__genre	Short_Film
Hubert_de_Givenchy	__film__film_costumer_designer__costume_design_for_film	Sabrina
J._F._Byrne	__people__person__gender	Male
Emil_Malick	__people__person__gender	Male
Sam_Raimi	__award__award_nominee__award_nominations	David_Koepp
Josh_Kelley	__music__group_member__instruments_played	Guitar
R&B_Collection	__music__release__format	Compact_disc
Murali_Krishna	__film__film__language	Telugu_language
Patricia_Clarkson	__award__award_nominee__award_nominations	David_Strathairn
Colors	__music__release__producers	Charles_Andre_Glenn
The_Truth	__book__book__genre	Fantasy
Wake	__common__topic__notable_types	Musical_Artist
Asberry	__location__location__containedby	Calhoun_County
Jason_McClellan	__common__topic__notable_types	TV_Personality
Kisaan	__media_common__netflix_title__netflix_genres	Hindi_Language
Darkstar	__fictional_universe__fictional_character__species	Mutant
Pablo_Soler_Frost	__people__person__gender	Male
Rajan_Prakash	__people__person__nationality	India
Damon_Lindelof	__award__award_nominated_work__award_nominations	Star_Trek
J'suis_snob	__music__album__album_content_type	Compilation_album
Patrick_Labyorteaux	__people__person__place_of_birth	Los_Angeles
Ljubljana	__location__location__people_born_here	Spela_Cadez
Luigi_Pistilli	__people__person__gender	Male
Neil_Craske	__people__person__profession	Screenwriter
Ken_Block	__common__topic__notable_types	Guitarist
Todd_Burns	__people__person__profession	Baseball_player
Shelly	__base__givennames__given_name__language	Hebrew_Language
Crusin'	__music__release_track__recording	Cruisin
Zoo_Records	__music__record_label__artist	Julian_Cope
Pop_Music	__music__album__release_type	Album
Haunted	__tv__tv_series_episode__director	David_Solomon
William_Dudley	__people__person__gender	Male
Paroles_et_musique	__film__film__country	France
Bunny_and_the_Bull	__film__film__written_by	Paul_King
Denis_Hamel	__people__person__gender	Male
EightBreeders	__music__release__region	Earth
Ljubljana	__location__location__people_born_here	Andraž_Šporar
Cary_Grant	__people__marriage_union_type__unions_of_this_type	Domestic_partnership
Secaucus	__music__album__release_type	Album
Ljubljana	__location__location__people_born_here	Tone_Perčič
The_Lost_City	__film__film__directed_by	Andy_Garcia
David_Millin	__people__person__profession	Cinematographer
Crazy_Love	__film__film__produced_by	Fisher_Stevens
Eric_Sherman	__people__person__profession	Cinematographer
Uzhgorod_Synagogue	__architecture__structure__architectural_style	Moorish_architecture
Tweet	__music__artist__track	Dwele
Close_as_You_Get	__music__release__track_list	Hard_Times
Ambert	__location__location__people_born_here	Emmanuel_Chabrier
Ric_Hardman	__people__deceased_person__place_of_death	Los_Angeles
Reno	__common__topic__notable_types	City_Town_Village
The_Best_of_SCTV	__film__film__written_by	Eugene_Levy
Isaac_Amoako	__people__person__place_of_birth	Koforidua
Dhool_Ka_Phool	__media_common__netflix_title__netflix_genres	Hindi_Language
I_Aliki_Sto_Naftiko	__music__album__artist	Manos_Hadjidakis
Greater_London	__base__aareas__schema__administrative_area__subdividing_place	City_of_London
Graduation_Film	__film__film__genre	Animation
Karl_Urban	__award__award_winner__awards_won	Sean_Astin
Bob_Milacki	__baseball__baseball_player__position_s	Pitcher
Auckland_Airport	__aviation__airport__hub_for	Mount_Cook_Airline
Jari_Haapalainen	__people__person__gender	Male
2003	__common__topic__notable_types	Musical_Album
Death_by_Government	__book__written_work__subjects	Politics
Amit_Khanna	__people__person__place_of_birth	Delhi
China,_My_Sorrow	__film__film__country	West_Germany
Lene_Alexandra	__people__person__profession	Singer
Chris_Dickens	__film__editor__film	Seed_of_Chucky
Christie_Knight	__people__person__nationality	United_Kingdom
Journalist	__common__topic__notable_types	Film_character
Shropshire	__location__location__contains	High_Ercall
Daniel_Didavi	__people__person__gender	Male
André_Kostolany	__people__person__profession	Stock_broker
Sub_Zero	__music__release__track	Fall
johnivins111	__freebase__user_profile__location	Virginia
Leland_Curtis	__people__person__gender	Male
Sasha_Popove	__people__person__place_of_birth	Vancouver
Debugger	__computer__software_genre__software_in_genre	WinDbg
Earth_Music	__music__album__release_type	Album
George_M.A._Hanfmann	__people__person__place_of_birth	Saint_Petersburg
Begijnendijk	__location__location__containedby	Belgium
Mr._Brocklehurst	__fictional_universe__fictional_character__character_created_by	Charlotte_Brontë
Thomas_Nelson	__book__publishing_company__books_published	Thr3e
Crazy_Horse	__music__artist__track	New_Orleans
Anthony_DiCocco	__people__person__gender	Male
Philip_R._Craig	__people__person__gender	Male
Lines	__film__film__genre	Short_Film
Makeout_Hobo	__fictional_universe__fictional_character__gender	Male
Inyati	__location__location__containedby	Zimbabwe
Cult_Comedies	__media_common__netflix_genre__titles	Super_Troopers
Sharon_Creech	__book__author__works_written	Love_That_Dog
Ainslie_Henderson	__people__person__profession	Screenwriter
Deborah_Hopkinson	__people__person__profession	Writer
Irving_Langmuir	__influence__influence_node__influenced	Gilbert_N._Lewis
William_Baylebridge	__people__person__place_of_birth	Brisbane
Tom_Reed	__people__person__gender	Male
Death_by_Government	__book__written_work__subjects	World
Wintersville	__location__hud_county_place__place	Wintersville
Believe	__music__release_track__release	The_Breakout_Trilogy
Julie_Gardner	__people__person__profession	Television_producer
Battle_of_Maguilla	__time__event__included_in_event	Peninsular_War
Picadillo	__music__recording__engineer	Rudy_Van_Gelder
Freedom_Writers	__film__film__edited_by	David_Moritz
Quisling_regime	__location__country__form_of_government	Caretaker_government
Cocoa_Krispies	__base__breakfast__breakfast_cereal_brand__flavor	Chocolate
David_Katzenberg	__people__person__profession	Film_Producer
Isidor_Kaufmann	__people__person__gender	Male
Mixed	__music__album__release_type	Album
Elegiac_Cycle	__music__release__track	Bard
Iranian_Canadian	__people__ethnicity__people	Jian_Ghomeshi
Aaron_Gilmore	__people__person__place_of_birth	Christchurch
Amiga	__cvg__cvg_platform__games	B.A.T.
Edward_Abbey	__book__author__works_written	Down_the_River
Scion_Fuse	__automotive__model__automotive_class	Coupé
Meg_Hutchinson	__people__person__place_of_birth	Egremont
Chosei_Funahara	__common__topic__notable_types	Film_director
Mike_Skinner	__base__nascar__nascar_driver__team	Bill_Davis_Racing
Armando_Moreno	__people__person__gender	Male
Alexander_Gronsky	__people__person__gender	Male
Takuu_Language	__language__human_language__region	Oceania
Jonty_Hearnden	__common__topic__notable_types	TV_Personality
Charles_d'Abancour	__people__person__nationality	France
Out_in_California	__music__album__album_content_type	Live_Album
China,_My_Sorrow	__film__film__country	France
(35073)_1989_TG16	__astronomy__star_system_body__star_system	Solar_System
Phil_Lanzon	__music__artist__label	Legacy_Recordings
Step_Up	__music__release_track__recording	Step_Up
Michael_Forest	__people__person__ethnicity	Ojibwe
France	__sports__sports_team_location__teams	A1_Team_France
Soul_Secure___Paris	__music__release__region	United_Kingdom
Thomas_C._Coffin	__people__deceased_person__place_of_death	Washington,_D.C.
Khelemba_Singh	__soccer__football_player__position_s	Defender
The_Love_Guru	__media_common__netflix_title__netflix_genres	Comedies
Screwball_comedy	__film__film_genre__films_in_this_genre	The_Lady_Eve
Penny_Woolcock	__people__person__profession	Television_producer
Cult_Comedies	__media_common__netflix_genre__titles	Four_Rooms
Brandon_Scott	__people__person__gender	Male
Joe_Lipari	__people__person__profession	Comedian
5240_Kwasan	__astronomy__star_system_body__star_system	Solar_System
Perfect_Shirl	__biology__organism__organism_type	Horse
The_Older_Ones	__music__album__release_type	Album
Ljubljana	__location__location__people_born_here	Matjaz_Brumen
Kishori_Godbole	__people__person__place_of_birth	Maharashtra
Clarence_Beers	__people__person__gender	Male
21	__music__release__track_list	Always
Oscar_M._Laurel	__people__person__profession	Lawyer
Michael_Korie	__freebase__valuenotation__has_value	Date_of_birth
St_Teath	__base__biblioness__bibs_location__country	England
Amiga	__cvg__cvg_platform__games	Prince_of_Persia
Dean_Richards	__people__person__gender	Male
DJ-Kicks:_Scuba	__music__release__format	Compact_disc
Hanania_Baer	__people__person__profession	Cinematographer
Bad	__music__release__track_list	Bad
34351_Decatur	__astronomy__star_system_body__star_system	Solar_System
Koutoubia_Mosque	__common__topic__image	Marrakesh
Ryan_Shotton	__people__person__nationality	England
Marco_Polo	__music__recording__tracks	Marco_Polo
Electric:_Level_2	__music__release__track	Vienna
Thief	__music__album__album_content_type	Compilation_album
Kanan	__common__topic__notable_types	City_Town_Village
Equatorial_Guinea	__location__location__people_born_here	Severo_Moto_Nsá
Dev_Anand	__film__director__film	Swami_Dada
Chris_Tillman	__people__person__gender	Male
Giancarlo_Bocchi	__people__person__gender	Male
Karl_Urban	__award__award_winner__awards_won	Ben_Cross
Sam_Newfield	__people__deceased_person__cause_of_death	Liver_cancer
Screwball_comedy	__film__film_genre__films_in_this_genre	Another_You
Sound_Pieces	__music__album__artist	Oliver_Nelson
Tara_Brown	__common__topic__notable_types	TV_Personality
Hanacaraka-bali	__common__licensed_object__license	Public_domain
Toya	__common__topic__notable_types	Musical_Artist
Polaris_Recall	__music__composition__lyricist	H._P._Lovecraft
Kenneth_Adelman	__people__person__profession	Diplomat
Abrar-ul-Haq	__people__person__profession	Singer
Nat_Burns	__people__person__gender	Male
Jonathan_Knight	__common__topic__notable_types	U.S._Congressperson
Crossing_Over	__film__film__executive_produced_by	Harvey_Weinstein
Live_at_Looney_Tunes	__music__album__genre	Emo
Roger_Greenawalt	__music__artist__genre	Dance
Shropshire	__location__location__contains	Kynnersley
Chuvashia	__location__location__people_born_here	Nikolai_Budarin
Ljubljana	__location__location__people_born_here	Dino_Seremet
Mike_Baker	__music__artist__label	Inside_Out_Music
McBee_High_School	__education__educational_institution__mascot	Black_panther
Manacapuru	__location__location__containedby	Amazonas
Ljubljana	__location__location__people_born_here	Samuel_Žbogar
The_Heartland_Café	__music__album__artist	Gyllene_Tider
Red_Kress	__people__person__profession	Baseball_player
Lust_For_Dracula	__film__film__story_by	Bram_Stoker
Mike_Le_Han	__people__person__gender	Male
Hiroshi_Ōshima	__people__person__gender	Male
Melanie_Miller	__people__person__profession	Film_Producer
Jos_Engelen	__people__person__nationality	Netherlands
Beaverlodge	__base__biblioness__bibs_location__state	Alberta
Graham_Dawe	__base__rugby__rugby_player__type_of_rugby	Rugby_union
Monaco	__music__recording__tracks	Monaco
Target_North_Korea	__book__written_work__subjects	Politics
Deep_Purple	__music__recording__releases	The_No._1_Hits_1963
Wake	__music__release_track__recording	Wake
Yôji_Takeshige	__film__film_art_director__films_art_directed	Spirited_Away
April_Morning	__film__film__genre	War_film
M._Ward	__people__person__place_of_birth	Ventura_County
Indiana	__music__release_track__recording	Indiana
John_Armstrong	__people__person__nationality	United_Kingdom
Amrod	__fictional_universe__fictional_character__gender	Male
Lyudmila_Zhivkova	__people__deceased_person__place_of_death	Sofia
Wendy_Hall	__people__person__profession	Computer_Scientist
Sockeye_salmon	__biology__organism_classification__higher_classification	Oncorhynchus
Molokai	__location__location__contains	Kalaupapa
Appendicitis	__medicine__disease__risk_factors	Intestinal_parasite
Andoque_language	__base__skosbase__skos_concept__broader	Colombia--Languages
Ariège	__location__administrative_division__country	France
Rob_Dickins	__people__person__profession	Record_producer
David_Alan_Harvey	__people__person__gender	Male
Susan_Squires	__people__person__profession	Writer
Gilbert_Wright	__people__person__profession	Screenwriter
Moishe_Lowtzky	__people__person__ethnicity	Jewish_people
Ljubljana	__location__location__people_born_here	Luka_Elsner
The_Weakerthans	__music__artist__genre	Indie_rock
Jan_Mojto	__people__person__gender	Male
Mike_Post	__music__composer__compositions	Blossom
Jennifer_Jason_Leigh	__freebase__valuenotation__is_reviewed	Place_of_birth
Clifford_Lett	__people__person__place_of_birth	Pensacola
Ljubljana	__location__location__people_born_here	Matija_Rozman
All_Over_the_Town	__media_common__netflix_title__netflix_genres	United_Kingdom
Batman	__award__award_winner__awards_won	Burt_Ward
David_Fleeshman	__people__person__nationality	United_Kingdom
Sheetal	__people__person__place_of_birth	India
Burim_Kukeli	__people__person__gender	Male
Slava_Grigoryan	__people__person__place_of_birth	Kazakhstan
Bandara	__fictional_universe__fictional_setting__languages	Akkadian_language
Tamara_Seur	__people__person__nationality	Netherlands
Vietnam	__music__recording__artist	The_Narcicyst
Jet_Bombers	__media_common__netflix_title__netflix_genres	Documentary_film
Tom_Costello	__people__person__gender	Male
Alex_Kingston	__award__award_nominee__award_nominations	Erik_Palladino
Salisbury	__location__location__containedby	Wiltshire
Urbain_Le_Verrier	__symbols__name_source__namesakes	Le_Verrier
Brahmakulam	__location__location__containedby	India
Action_Pact	__music__album__release_type	Album
